job_title,job_description,required_skills
Software Engineer - Backend 1,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 1,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 1,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 1,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 1,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 1,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 1,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 1,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 1,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 1,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 2,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 2,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 2,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 2,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 2,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 2,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 2,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 2,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 2,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 2,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 3,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 3,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 3,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 3,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 3,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 3,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 3,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 3,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 3,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 3,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 4,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 4,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 4,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 4,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 4,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 4,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 4,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 4,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 4,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
